red_team_p1_id,red_team_p2_id,yellow_team_p1_id,yellow_team_p2_id,red_team_goals,yellow_team_goals,red_won
2,7,6,8,6,10,false
4,5,10,15,10,9,true
10,15,4,5,8,10,false
2,7,6,8,10,7,true
6,8,2,7,8,10,false
7,15,4,14,10,1,true
4,14,7,15,5,10,false
8,13,6,14,10,9,true
2,16,7,8,10,7,true
8,13,2,10,2,10,false
5,15,4,14,9,10,false
4,14,2,10,2,10,false
1,3,6,8,10,7,true
1,7,6,8,10,1,true
1,8,6,16,10,4,true
1,12,3,16,10,3,true
3,16,1,12,3,10,false
5,11,2,10,7,10,false
1,8,2,6,10,7,true
4,11,10,15,5,10,false
10,15,4,11,10,5,true
2,10,4,15,10,8,true
1,8,6,16,10,4,true
1,7,6,8,10,9,true
2,10,8,13,10,2,true
6,8,1,7,7,10,false
2,10,4,5,10,2,true
4,5,2,10,10,4,true
7,11,6,8,6,10,false
1,7,6,8,10,1,true
7,15,1,12,6,10,false
4,14,2,10,4,10,false
6,11,2,14,10,7,true
10,11,12,14,10,5,true
12,14,10,11,4,10,false
8,11,2,16,10,9,true
6,11,2,16,8,10,false
8,12,1,6,8,10,false
1,6,8,12,10,2,true
6,17,2,10,7,10,false
1,6,2,8,10,3,true
10,18,4,14,10,7,true
4,14,10,18,8,10,false
2,6,1,7,8,10,false
4,14,8,16,10,7,true
2,13,8,16,10,7,true
8,13,12,16,6,10,false
12,16,8,13,10,9,true
2,12,6,7,10,8,true
3,16,2,8,5,10,false
2,8,3,16,10,5,true
4,5,8,10,5,10,false
2,10,17,6,5,10,false
2,7,6,8,10,6,true
6,8,2,7,7,10,false
6,8,3,16,10,8,true
6,8,16,12,9,10,false
16,12,6,8,6,10,false
10,18,2,5,4,10,false
2,5,10,18,10,5,true
1,7,6,8,5,10,false
2,16,6,8,3,10,false
12,16,6,8,3,10,false
4,5,12,17,10,7,true
12,17,4,5,6,10,false
3,16,6,7,2,10,false
6,7,3,16,8,10,false
3,16,2,12,1,10,false
2,12,3,16,10,3,true
10,17,2,18,10,1,true
10,17,15,18,10,4,true
1,3,6,8,10,8,true
1,8,2,6,10,7,true
4,10,17,5,10,7,true
1,12,15,7,6,10,false
8,4,2,10,4,10,false
17,5,4,10,10,3,true
4,10,17,5,9,10,false
1,7,6,8,10,6,true
2,8,16,6,10,5,true
12,1,8,6,8,10,false
6,17,8,4,10,6,true
2,10,11,5,10,9,true
1,12,4,8,10,7,true
12,1,8,6,10,8,true
6,8,1,12,8,10,false
8,2,16,6,8,10,false
6,16,2,8,8,10,false
12,16,6,8,10,5,true
12,16,6,8,3,10,false
2,12,11,16,10,5,true
16,11,2,12,4,10,false
2,8,6,1,10,8,true
8,3,16,12,5,10,false
10,4,5,17,6,10,false
8,4,5,11,2,10,false
6,17,11,5,9,10,false
7,1,2,6,5,10,false
11,5,6,17,10,3,true
17,5,4,2,10,7,true
2,4,17,5,9,10,false
2,12,11,5,8,10,false
12,10,17,11,10,6,true
8,11,16,3,10,8,true
8,11,3,6,10,9,true
8,6,4,5,10,6,true
8,6,4,5,10,8,true
8,6,1,7,10,9,true
8,6,16,3,9,10,false
4,18,10,5,4,10,false
1,7,8,6,10,6,true
1,7,8,6,10,8,true
1,6,10,17,10,3,true
5,4,17,12,10,9,true
1,7,11,3,10,8,true
17,11,5,4,10,3,true
17,11,5,4,4,10,false
7,1,4,5,10,5,true
1,2,8,16,10,5,true
1,2,6,8,10,4,true
3,16,8,6,10,5,true
1,6,2,11,4,10,false
1,6,3,8,10,5,true
4,10,5,17,8,10,false
4,10,5,17,10,7,true
10,4,17,5,8,10,false
17,5,10,4,10,9,true
8,1,6,16,7,10,false
8,1,6,16,10,7,true
1,19,2,6,10,5,true
1,3,6,8,10,8,true
2,12,16,8,10,7,true
6,1,2,12,10,6,true
1,6,2,17,10,7,true
17,5,4,10,9,10,false
8,3,1,4,9,10,false
10,3,1,8,8,10,false
1,8,10,5,10,9,true
19,1,12,6,10,7,true
10,4,12,5,5,10,false
2,10,5,4,10,5,true
2,6,10,4,10,9,true
12,5,11,2,10,7,true
2,11,5,12,8,10,false
10,5,2,4,8,10,false
16,11,8,7,10,7,true
16,11,8,7,10,9,true
5,17,4,10,6,10,false
3,16,4,8,1,10,false
1,19,6,7,10,7,true
2,11,10,4,10,5,true
1,7,16,2,10,7,true
2,8,19,16,10,5,true
2,8,6,1,8,10,false
4,18,5,17,1,10,false
5,17,4,18,10,5,true
4,10,5,17,6,10,false
1,7,2,6,10,9,true
6,7,2,1,6,10,false
17,11,12,4,4,10,false
2,8,1,6,5,10,false
8,2,6,4,10,9,true
2,16,1,8,10,5,true
1,8,2,16,9,10,false
2,7,1,6,5,10,false
2,10,16,5,6,10,false
8,16,6,7,10,8,true
2,7,6,1,9,10,false
8,16,6,4,10,9,true
2,20,4,5,9,10,false
8,16,2,11,7,10,false
7,6,1,17,10,6,true
16,8,2,17,7,10,false
2,17,8,16,10,4,true
8,6,16,7,10,8,true
1,8,12,7,10,5,true
6,7,1,8,1,10,false
6,7,12,16,4,10,false
5,17,4,18,10,6,true
4,18,5,17,9,10,false
8,6,16,7,7,10,false
12,3,6,7,5,10,false
6,8,12,3,9,10,false
6,8,2,7,10,6,true
2,16,6,8,10,6,true
4,8,7,15,10,8,true
17,5,4,2,9,10,false
11,2,16,7,10,7,true
16,8,2,11,5,10,false
4,3,2,11,5,10,false
6,7,1,8,5,10,false
2,11,1,8,4,10,false
2,11,16,8,10,8,true
2,4,17,5,10,7,true
7,8,1,6,5,10,false
2,7,6,1,10,6,true
16,8,2,6,8,10,false
8,16,2,12,9,10,false
16,8,1,6,7,10,false
8,6,1,7,8,10,false
1,7,2,8,2,10,false
15,10,17,5,10,9,true
10,16,2,6,10,9,true
16,12,8,6,5,10,false
6,8,16,3,10,4,true
16,3,6,8,7,10,false
16,3,2,12,1,10,false
2,12,11,10,10,8,true
2,11,1,7,10,6,true
8,12,16,6,10,5,true
3,16,7,15,8,10,false
7,15,3,16,10,5,true
17,5,2,4,8,10,false
7,6,2,16,4,10,false
8,6,2,16,10,7,true
12,16,8,6,5,10,false
4,6,2,12,6,10,false
2,4,17,5,7,10,false
7,1,6,3,10,5,true
8,1,2,3,10,5,true
2,3,6,8,7,10,false
17,5,2,4,7,10,false
2,4,17,5,10,9,true
1,6,2,7,10,8,true
5,17,12,11,10,8,true
3,8,6,7,10,6,true
3,8,1,12,7,10,false
2,8,6,7,10,3,true
5,11,1,12,8,10,false
1,2,6,7,10,3,true
2,1,12,3,10,3,true
5,17,2,4,6,10,false
11,3,6,8,3,10,false
1,2,6,8,10,9,true
1,8,6,2,10,9,true
1,11,2,12,10,7,true
21,7,9,6,9,10,false
1,6,2,8,7,10,false
4,18,17,5,10,9,true
8,3,12,7,10,7,true
4,12,3,11,10,2,true
4,12,3,11,10,3,true
12,4,17,5,10,6,true
5,11,4,21,10,5,true
8,1,6,7,7,10,false
8,3,22,11,10,6,true
2,8,6,16,10,2,true
2,16,8,6,10,6,true
2,8,16,3,10,6,true
11,8,16,3,10,6,true
4,10,17,5,10,9,true
8,6,2,16,9,10,false
8,16,2,6,7,10,false
17,5,18,4,10,7,true
4,18,5,17,10,9,true
12,4,10,2,6,10,false
8,6,3,16,10,7,true
17,5,4,16,2,10,false
5,17,4,16,10,9,true
8,21,6,9,1,10,false
2,11,8,6,8,10,false
12,11,6,8,7,10,false
12,8,6,2,8,10,false
2,10,5,11,10,9,true
11,8,6,2,10,9,true
2,21,6,9,10,7,true
5,17,4,10,10,8,true
2,3,6,11,10,8,true
6,11,3,2,7,10,false
10,4,17,5,10,9,true
10,4,5,2,10,8,true
3,16,6,8,3,10,false
6,8,3,16,9,10,false
8,11,2,6,8,10,false
11,5,10,4,10,9,true
10,4,2,17,8,10,false
6,8,3,16,10,7,true
2,3,6,8,3,10,false
6,8,2,3,6,10,false
10,4,17,5,2,10,false
2,8,16,10,10,8,true
2,8,16,3,10,5,true
2,3,8,16,10,6,true
12,8,3,6,7,10,false
12,16,10,4,7,10,false
16,12,6,4,10,9,true
8,4,2,23,10,9,true
12,16,17,5,7,10,false
17,5,12,16,9,10,false
2,9,12,4,10,4,true
12,4,2,9,5,10,false
12,9,5,17,2,10,false
5,17,1,4,6,10,false
10,4,2,5,10,2,true
2,5,10,4,6,10,false
4,10,17,5,10,9,true
8,7,3,16,10,6,true
8,7,3,16,10,7,true
2,11,10,8,10,8,true
10,8,2,11,10,8,true
7,6,1,17,10,4,true
5,4,17,1,10,6,true
11,21,24,9,9,10,false
11,4,5,17,8,10,false
10,4,17,5,10,5,true
2,8,7,6,10,9,true
3,1,11,8,10,7,true
4,20,5,17,7,10,false
8,7,3,16,10,7,true
8,7,3,16,10,5,true
1,11,3,16,10,2,true
10,9,2,11,10,7,true
4,18,5,17,3,10,false
2,5,4,17,5,10,false
10,17,2,5,4,10,false
11,4,12,8,10,8,true
11,5,10,8,9,10,false
6,7,1,2,5,10,false
2,9,24,11,10,5,true
8,11,16,2,10,7,true
16,10,8,11,10,9,true
6,9,1,21,10,7,true
2,10,7,15,10,7,true
7,15,2,10,5,10,false
17,5,2,8,9,10,false
5,12,10,4,5,10,false
2,12,17,5,5,10,false
12,11,10,5,5,10,false
12,10,5,17,6,10,false
8,3,2,7,9,10,false
8,3,2,10,10,7,true
1,6,2,7,4,10,false
4,12,6,1,10,6,true
1,7,8,6,10,8,true
1,3,2,11,10,4,true
2,11,1,3,6,10,false
24,11,9,21,10,6,true
24,11,9,21,9,10,false
2,18,17,5,3,10,false
18,4,17,5,6,10,false
9,11,7,21,10,7,true
9,11,7,21,10,7,true
8,11,6,16,10,5,true
8,6,11,16,10,8,true
1,3,2,6,7,10,false
2,11,4,17,10,4,true
2,11,10,4,10,6,true
2,12,10,4,5,10,false
10,4,2,12,10,9,true
8,12,3,16,10,5,true
8,3,1,6,7,10,false
1,6,8,3,3,10,false
8,3,1,6,7,10,false
2,3,6,8,10,7,true
6,8,2,3,10,7,true
17,5,2,8,9,10,false
9,5,7,6,10,8,true
8,6,3,1,10,7,true
8,6,7,1,9,10,false
4,10,2,17,10,5,true
2,17,4,10,6,10,false
3,2,1,6,10,8,true
1,6,3,2,10,9,true
6,1,3,7,10,8,true
7,3,1,6,6,10,false
2,9,8,21,10,6,true
2,9,6,1,3,10,false
8,1,7,6,10,8,true
6,12,2,17,10,4,true
2,17,6,12,10,4,true
1,7,6,3,10,5,true
6,3,1,7,5,10,false
2,3,17,4,9,10,false
21,11,9,3,8,10,false
11,9,21,3,10,2,true
2,11,4,17,10,9,true
2,16,6,8,10,9,true
3,8,6,1,3,10,false
6,1,3,8,10,7,true
8,7,3,16,10,5,true
1,8,2,12,10,4,true
2,12,1,8,10,8,true
9,11,21,24,10,1,true
9,11,21,24,10,3,true
4,17,2,11,10,8,true
3,1,6,11,10,7,true
6,11,3,1,6,10,false
1,8,2,7,10,5,true
1,8,2,17,10,0,true
6,8,10,4,4,10,false
11,24,9,21,10,8,true
11,8,3,16,10,7,true
8,7,3,16,10,2,true
10,4,15,17,10,7,true
12,4,2,10,10,9,true
3,1,8,11,10,8,true
8,1,7,6,10,9,true
1,3,6,12,10,7,true
6,12,1,3,8,10,false
17,4,10,11,5,10,false
11,10,17,4,10,5,true
11,1,3,7,10,5,true
1,8,7,6,9,10,false
9,6,1,21,10,5,true
1,21,9,6,5,10,false
11,9,2,21,10,0,true
3,6,16,11,10,5,true
2,12,10,15,6,10,false
12,15,10,11,9,10,false
8,1,7,6,10,8,true
8,1,3,6,10,4,true
9,11,3,21,10,1,true
3,21,9,11,7,10,false
8,3,2,12,5,10,false
2,12,8,3,10,9,true
21,9,12,17,5,10,false
17,9,12,21,10,8,true
1,3,8,2,9,10,false
8,1,6,16,7,10,false
8,1,12,3,10,7,true
8,1,12,3,10,8,true
2,11,10,18,10,3,true
1,6,8,16,10,8,true
1,6,8,7,10,9,true
8,7,1,6,8,10,false
12,6,1,7,8,10,false
3,8,11,1,10,7,true
9,11,21,24,10,3,true
2,12,11,6,9,10,false
1,7,3,6,10,9,true
3,6,12,16,10,5,true
1,7,12,16,10,7,true
8,1,6,16,10,4,true
11,1,8,3,10,8,true
8,16,17,11,10,6,true
8,16,3,10,8,10,false
12,16,3,10,10,6,true
11,7,2,8,5,10,false
8,16,7,2,10,7,true
6,16,2,10,2,10,false
2,10,6,16,9,10,false
2,3,16,8,10,9,true
2,9,21,19,10,1,true
8,16,2,11,6,10,false
2,11,16,8,10,6,true
10,18,2,11,4,10,false
8,16,2,3,3,10,false
2,3,8,16,10,6,true
3,24,9,21,10,2,true
3,24,11,21,8,10,false
2,8,7,16,10,4,true
7,16,2,8,10,9,true
2,11,6,16,7,10,false
8,6,3,16,10,6,true
8,6,3,16,10,7,true
8,11,2,3,10,9,true
11,3,2,16,10,9,true
8,7,2,16,10,9,true
1,6,3,8,10,8,true
1,6,3,8,6,10,false
11,3,6,7,3,10,false
11,6,3,7,6,10,false
8,16,2,11,6,10,false
2,11,8,16,10,4,true
3,9,21,1,10,9,true
6,7,1,3,10,9,true
3,1,7,6,10,9,true
2,11,12,8,10,6,true
11,8,16,17,10,8,true
3,6,1,7,10,7,true
1,7,6,16,10,9,true
1,7,6,11,10,7,true
1,7,6,21,10,9,true
3,2,1,7,10,7,true
3,7,6,16,6,10,false
3,1,6,7,10,3,true
16,7,3,1,10,9,true
3,1,16,6,10,9,true
6,7,16,3,10,2,true
6,7,16,3,10,5,true
16,3,6,7,10,1,true
6,3,1,7,10,9,true
2,11,6,3,10,6,true
6,3,1,7,10,7,true
3,6,7,1,8,10,false
3,7,6,1,10,8,true
3,1,11,7,10,8,true
8,7,6,16,10,9,true
6,7,3,1,10,7,true
8,7,3,6,10,7,true
2,11,10,15,10,7,true
8,1,3,7,10,3,true
8,16,3,11,10,3,true
11,8,2,22,10,3,true
11,8,2,6,5,10,false
6,12,11,10,7,10,false
11,10,6,12,8,10,false
3,7,1,6,10,4,true
3,7,1,6,7,10,false
6,1,8,7,10,3,true
3,7,11,8,4,10,false
3,6,8,11,10,2,true
11,8,2,10,4,10,false
8,7,3,1,10,9,true
8,7,3,16,10,9,true
8,7,3,16,10,7,true
8,7,3,16,10,7,true
8,7,1,16,10,7,true
10,7,6,16,10,4,true
6,1,8,7,10,4,true
1,6,8,7,10,9,true
2,11,6,7,8,10,false
2,11,8,16,10,7,true
16,8,2,11,10,6,true
2,25,6,7,3,10,false
6,7,2,25,10,7,true
1,6,7,2,10,8,true
11,10,1,6,3,10,false
2,11,8,16,4,10,false
10,11,8,16,8,10,false
7,6,1,8,9,10,false
2,6,1,8,4,10,false
16,8,2,11,10,4,true
8,16,7,1,8,10,false
2,11,8,16,8,10,false
8,16,2,11,10,4,true
2,11,8,16,10,4,true
2,11,1,8,10,6,true
2,11,10,8,7,10,false
7,1,8,6,10,9,true
8,16,1,6,6,10,false
2,8,1,6,4,10,false
6,3,8,7,10,7,true
8,7,6,3,8,10,false
2,10,8,3,10,5,true
11,8,2,1,7,10,false
2,12,8,16,10,8,true
10,12,8,16,7,10,false
10,12,8,16,6,10,false
2,10,11,6,10,4,true
2,11,8,16,8,10,false
2,11,10,8,4,10,false
6,8,2,3,10,8,true
2,3,6,8,10,9,true
2,3,10,15,10,8,true
3,6,8,1,10,5,true
3,6,8,1,7,10,false
11,1,12,7,10,9,true
2,10,11,6,10,9,true
8,16,7,3,6,10,false
7,3,8,16,6,10,false
8,16,7,3,9,10,false
7,3,8,16,10,7,true
2,8,1,3,10,4,true
1,3,2,8,9,10,false
2,11,1,6,10,8,true
3,8,1,6,8,10,false
2,7,1,6,6,10,false
2,7,11,10,2,10,false
1,3,8,16,9,10,false
2,3,1,6,10,8,true
2,10,16,8,10,8,true
3,7,1,6,9,10,false
2,12,10,11,8,10,false
2,11,8,16,10,9,true
8,16,2,11,9,10,false
10,8,1,6,4,10,false
10,2,1,25,10,6,true
6,12,2,3,8,10,false
2,3,8,16,4,10,false
8,16,2,3,6,10,false
2,3,8,16,10,8,true
1,3,8,16,10,8,true
1,3,8,16,6,10,false
2,10,12,11,10,7,true
1,7,3,6,10,7,true
8,16,3,7,7,10,false
7,1,6,3,10,6,true
16,10,2,11,9,10,false
10,3,2,11,6,10,false
2,11,10,3,9,10,false
2,10,8,16,10,9,true
8,6,11,10,10,7,true
8,6,11,10,10,8,true
8,1,6,3,10,6,true
2,12,10,11,10,9,true
10,11,2,12,10,5,true
2,12,10,11,8,10,false
8,16,7,21,10,6,true
8,16,7,21,10,6,true
2,12,10,11,9,10,false
6,1,7,10,10,9,true
3,1,16,12,10,7,true
8,21,1,9,10,8,true
8,3,1,7,8,10,false
16,7,2,11,10,6,true
2,12,11,16,10,8,true
2,6,11,7,10,5,true
8,11,12,7,10,1,true
8,11,12,7,10,2,true
8,11,1,3,7,10,false
8,2,12,3,10,7,true
2,21,3,9,10,8,true
25,21,3,9,4,10,false
11,3,8,7,10,3,true
8,7,11,3,10,9,true
8,7,2,12,7,10,false
8,11,2,10,4,10,false
3,7,2,8,8,10,false
2,8,3,7,10,9,true
8,11,7,12,10,3,true
7,21,11,9,5,10,false
2,7,8,3,8,10,false
3,9,2,7,2,10,false
2,12,8,11,10,9,true
11,12,21,7,6,10,false
21,7,11,12,1,10,false
8,1,2,7,10,8,true
7,1,3,8,10,4,true
7,1,3,8,10,8,true
7,3,12,1,10,9,true
2,12,7,3,10,6,true
1,21,7,9,10,7,true
8,16,3,7,9,10,false
8,16,6,7,10,9,true
1,10,2,6,10,3,true
2,10,8,16,4,10,false
8,16,2,10,10,9,true
1,10,2,11,6,10,false
1,12,2,3,10,8,true
16,8,3,7,10,9,true
2,11,8,16,4,10,false
8,16,2,11,10,7,true
8,1,6,3,10,6,true
2,11,8,16,7,10,false
8,16,2,11,6,10,false
1,25,2,11,7,10,false
3,8,7,1,6,10,false
16,7,6,1,3,10,false
6,7,8,1,7,10,false
2,11,8,16,10,6,true
8,16,2,11,10,3,true
7,1,3,6,9,10,false
3,1,8,16,10,8,true
1,6,7,12,10,5,true
1,6,7,11,10,7,true
8,16,2,11,6,10,false
10,16,2,11,9,10,false
8,16,12,3,10,7,true
1,10,7,12,10,6,true
2,11,8,16,10,8,true
2,11,12,25,10,5,true
11,17,12,25,8,10,false
11,17,12,25,10,2,true
11,2,8,16,10,4,true
8,16,11,2,6,10,false
2,7,3,8,6,10,false
8,16,1,23,10,3,true
8,16,1,10,6,10,false
2,11,3,12,8,10,false
12,16,1,7,10,9,true
8,16,1,23,10,7,true
2,23,7,6,8,10,false
1,10,2,11,10,5,true
21,16,2,11,5,10,false
16,21,11,12,4,10,false
2,12,16,8,8,10,false
8,16,2,10,4,10,false
2,10,8,16,10,7,true
8,16,10,7,9,10,false
1,3,23,11,10,7,true
1,21,2,11,8,10,false
6,11,7,1,8,10,false
1,7,3,16,10,8,true
3,16,1,7,3,10,false
11,8,12,16,10,9,true
12,16,11,8,3,10,false
1,16,8,3,5,10,false
1,16,8,3,10,5,true
1,16,8,3,10,5,true
1,6,12,11,10,4,true
1,6,12,11,9,10,false
6,16,11,8,10,5,true
11,8,6,16,10,6,true
3,1,8,16,10,4,true
3,1,8,16,10,4,true
3,1,8,11,10,7,true
1,6,3,7,10,9,true
1,6,3,7,10,2,true
8,16,7,11,10,9,true
6,25,1,7,8,10,false
1,7,6,25,10,7,true
8,11,12,16,9,10,false
8,16,7,3,10,5,true
8,16,11,3,10,9,true
8,16,11,2,10,4,true
8,16,7,3,10,7,true
3,11,1,21,8,10,false
8,16,11,2,6,10,false
6,1,2,11,10,9,true
6,1,3,8,10,9,true
6,1,7,16,10,5,true
16,7,2,8,10,9,true
2,8,16,7,10,1,true
1,7,6,16,6,10,false
2,11,8,3,10,9,true
2,11,8,1,5,10,false
2,7,8,16,6,10,false
8,16,2,7,10,6,true
11,2,16,3,10,8,true
8,7,16,25,10,6,true
8,16,6,3,10,4,true
8,3,6,16,10,8,true
2,11,16,7,10,7,true
16,3,6,11,8,10,false
11,7,2,16,9,10,false
6,16,7,3,9,10,false
3,7,2,16,3,10,false
12,25,2,16,9,10,false
3,16,8,11,10,6,true
3,16,8,11,10,8,true
8,16,7,2,10,4,true
7,8,25,26,10,7,true
11,25,7,8,8,10,false
2,26,11,25,10,6,true
6,3,11,8,8,10,false
11,8,6,3,10,4,true
25,26,11,8,0,10,false
1,25,11,8,9,10,false
1,3,8,25,10,5,true
6,7,11,8,10,8,true
12,7,11,8,7,10,false
8,7,2,11,10,8,true
25,26,12,11,7,10,false
25,26,12,11,5,10,false
8,3,11,2,8,10,false
3,25,12,11,6,10,false
12,11,3,25,9,10,false
3,8,11,2,6,10,false
8,25,1,26,10,8,true
8,16,2,11,8,10,false
6,25,11,26,8,10,false
1,3,2,25,10,1,true
2,25,1,3,8,10,false
6,8,2,25,10,7,true
25,3,1,26,10,3,true
25,3,1,26,10,4,true
2,11,3,25,10,9,true
2,25,6,8,9,10,false
2,3,6,25,10,6,true
8,16,2,11,10,8,true
2,11,8,16,7,10,false
8,16,1,3,7,10,false
8,16,1,3,10,9,true
8,16,2,11,2,10,false
2,11,8,16,9,10,false
2,11,12,16,10,2,true
8,16,2,11,10,7,true
8,16,6,7,10,7,true
8,16,2,11,10,9,true
25,11,6,2,10,7,true
8,16,2,11,10,3,true
8,16,11,3,9,10,false
2,1,11,25,10,4,true
1,25,2,11,6,10,false
1,8,2,11,10,8,true
6,8,2,11,10,9,true
1,26,3,25,9,10,false
1,26,3,25,10,8,true
1,26,3,25,7,10,false
2,6,3,11,10,9,true
1,3,25,26,10,7,true
3,26,1,25,7,10,false
8,6,7,1,10,7,true
7,1,8,6,2,10,false
1,3,26,25,10,5,true
1,25,3,26,10,9,true
16,3,2,11,10,8,true
1,25,11,3,10,5,true
2,26,1,11,5,10,false
2,1,11,6,10,7,true
1,3,2,11,9,10,false
2,26,25,11,5,10,false
25,11,2,26,8,10,false
2,16,1,3,6,10,false
6,7,2,11,5,10,false
25,1,8,26,10,7,true
1,25,8,2,10,6,true
25,26,1,2,4,10,false
1,8,2,26,10,1,true
25,26,8,1,8,10,false
25,1,8,26,10,9,true
2,8,1,25,5,10,false
2,26,8,25,7,10,false
8,25,2,26,4,10,false
3,1,2,26,10,3,true
2,26,11,25,3,10,false
2,25,11,26,10,3,true
26,25,2,11,5,10,false
2,26,11,25,8,10,false
3,1,8,6,10,9,true
25,8,26,16,10,5,true
2,26,11,25,10,6,true
11,25,2,26,10,9,true
26,25,1,8,8,10,false
26,1,25,12,9,10,false
8,16,25,11,10,5,true
8,16,25,11,6,10,false
12,16,25,11,3,10,false
12,2,25,11,10,6,true
25,2,26,11,10,8,true
2,25,11,8,9,10,false
7,1,8,6,10,6,true
3,8,26,25,10,8,true
2,8,11,25,5,10,false
2,11,8,16,10,2,true
3,25,11,2,10,7,true
16,25,2,26,8,10,false
2,26,16,25,10,5,true
2,25,11,26,10,7,true
8,16,2,11,2,10,false
2,11,8,16,3,10,false
1,25,8,16,4,10,false
1,2,8,16,10,5,true
2,6,1,3,7,10,false
8,16,2,11,6,10,false
2,11,8,16,10,8,true
3,25,8,16,9,10,false
8,16,6,25,10,2,true
8,25,6,16,4,10,false
8,16,2,11,8,10,false
26,25,3,16,10,8,true
26,25,3,16,10,1,true
2,11,25,26,10,2,true
7,8,1,3,10,8,true
25,26,2,11,5,10,false
8,16,2,7,2,10,false
2,16,25,26,10,8,true
25,26,2,16,10,7,true
2,16,25,26,10,4,true
2,25,1,3,7,10,false
16,8,1,6,10,4,true
2,26,25,11,10,9,true
25,11,2,26,7,10,false
7,25,8,16,10,7,true
7,25,8,16,10,5,true
8,16,2,11,6,10,false
25,3,2,11,5,10,false
2,11,16,1,6,10,false
2,11,25,3,5,10,false
25,3,11,7,10,5,true
8,16,11,2,7,10,false
2,16,12,8,2,10,false
12,8,2,16,9,10,false
3,7,2,11,10,9,true
2,3,11,25,3,10,false
11,25,2,16,8,10,false
25,3,8,16,10,3,true
8,16,25,3,7,10,false
2,3,16,25,8,10,false
25,3,2,1,2,10,false
2,1,3,25,10,7,true
8,16,2,11,8,10,false
1,25,6,7,10,5,true
25,3,8,11,10,7,true
3,25,2,11,6,10,false
2,11,3,25,10,9,true
25,26,2,11,10,5,true
2,11,16,25,8,10,false
25,26,2,11,10,4,true
1,3,2,16,9,10,false
2,11,7,3,7,10,false
3,16,2,11,9,10,false
2,3,25,11,3,10,false
25,11,2,3,9,10,false
16,1,2,11,9,10,false
25,26,2,11,8,10,false
2,11,25,26,6,10,false
25,26,2,11,3,10,false
2,11,25,26,9,10,false
25,16,6,7,10,6,true
2,28,11,26,0,10,false
11,26,2,28,10,7,true
25,26,2,11,10,9,true
11,26,27,28,10,0,true
11,28,26,27,10,2,true
26,27,11,28,3,10,false
25,11,3,1,10,2,true
25,26,16,11,10,5,true
1,3,25,11,8,10,false
3,25,1,11,10,8,true
1,11,25,3,10,7,true
25,3,7,16,10,8,true
1,3,2,11,3,10,false
2,11,1,3,9,10,false
1,25,2,11,10,1,true
2,11,1,25,5,10,false
25,3,1,11,10,6,true
1,11,3,25,10,3,true
3,25,11,1,10,8,true
2,25,3,7,10,8,true
3,2,25,11,10,8,true
8,16,25,11,9,10,false
25,3,1,11,10,6,true
2,1,25,11,10,9,true
25,11,1,3,4,10,false
1,3,11,25,10,7,true
2,11,8,16,10,7,true
8,16,2,11,10,9,true
2,25,11,3,3,10,false
11,3,1,2,10,6,true
2,11,8,16,5,10,false
8,16,2,25,6,10,false
2,25,8,16,10,8,true
25,3,2,11,9,10,false
2,11,25,3,10,5,true
25,3,2,11,8,10,false
2,11,8,12,10,6,true
2,11,8,6,10,7,true
25,3,2,11,10,9,true
2,3,25,11,8,10,false
8,16,11,25,4,10,false
25,3,11,1,3,10,false
2,11,1,3,9,10,false
8,25,1,3,9,10,false
8,25,2,6,10,6,true
3,2,11,25,4,10,false
11,25,3,2,10,4,true
11,1,3,25,10,4,true
1,8,16,25,4,10,false
16,25,1,8,10,6,true
3,25,2,1,7,10,false
2,8,1,3,10,9,true
2,25,1,3,4,10,false
3,25,2,1,10,9,true
16,8,11,25,9,10,false
3,1,11,2,10,7,true
2,11,8,16,10,3,true
25,26,2,11,9,10,false
3,25,11,2,10,7,true
25,8,2,1,5,10,false
25,3,2,1,5,10,false
1,3,8,25,10,7,true
2,11,1,3,10,9,true
1,3,2,25,10,5,true
2,3,8,16,10,5,true
3,8,2,16,9,10,false
2,1,3,25,9,10,false
8,16,2,26,10,8,true
2,26,8,16,3,10,false
8,16,26,25,10,6,true
1,25,8,16,6,10,false
2,16,1,25,10,9,true
1,3,2,8,10,9,true
1,3,25,2,10,6,true
25,2,1,3,4,10,false
1,25,8,16,10,6,true
1,3,25,11,10,6,true
